CAS,compound,SMILES,membrane_exp,storage_exp,albumin_exp,muscle_chicken_exp,muscle_fish_exp
630-20-6,"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,,2.85,,,
71-55-6,"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,,2.66,,,
79-34-5,"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,,2.46,,,
79-00-5,"1,1,2-Trichloroethane",ClCC(Cl)Cl,,2.09,,,
1717-00-6,"1,1-Dichloro-1-fluoroethane",CC(F)(Cl)Cl,,1.34,,,
75-34-3,"1,1-Dichloroethane",CC(Cl)Cl,,1.74,,,
75-35-4,"1,1-Dichloroethene",C=C(Cl)Cl,,2.19,,,
526-73-8,"1,2,3-Trimethylbenzene",Cc1cccc(C)c1C,,3.32,,,
367-23-7,"1,2,4-Trifluorobenzene",Fc1ccc(F)c(F)c1,,2.67,,,
95-63-6,"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,,3.43,3.35,1.9,1.87
106-93-4,"1,2-Dibromoethane",BrCCBr,,1.67,,,
95-50-1,"1,2-Dichlorobenzene",Clc1ccccc1Cl,3.64,3.71,3.03,2.02,2.04
107-06-2,"1,2-Dichloroethane",ClCCCl,,1.6,,,
78-87-5,"1,2-Dichloropropane",CC(Cl)CCl,,1.99,,,
367-11-3,"1,2-Difluorobenzene",Fc1ccccc1F,,2.62,,,
372-38-3,"1,3,5-Trifluorobenzene",Fc1cc(F)cc(F)c1,,2.93,,,
108-67-8,"1,3,5-Trimethylbenzene",Cc1cc(C)cc(C)c1,,3.49,,,
541-73-1,"1,3-Dichlorobenzene",Clc1cccc(Cl)c1,3.71,3.84,,,
540-36-3,"1,4-Difluorobenzene",Fc1ccc(F)cc1,,2.58,,,
107-04-0,1-Bromo-2-chloroethane,ClCCBr,,2.07,,,
71-36-3,1-Butanol,CCCCO,0.51,0.02,,,
109-69-3,1-Chlorobutane,CCCCCl,,2.78,,,
543-59-9,1-Chloropentane,CCCCCCl,,3.48,,,
540-54-5,1-Chloropropane,CCCCl,,2.22,,,
111-27-3,1-Hexanol,CCCCCCO,1.88,1.36,1.64,,0.55
107-98-2,1-Methoxy-2-propanol,COCC(C)O,,-1.53,,,
108-03-2,1-Nitropropane,CCC[N+](=O)[O-],,0.97,,,
71-41-0,1-Pentanol,CCCCCO,1.08,0.54,,,
71-23-8,1-Propanol,CCCO,0.17,-0.48,,,
540-84-1,"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,4.61,4.64,,,
306-83-2,"2,2-Dichloro-1,1,1-
trifluoroethane",FC(F)(F)C(Cl)Cl,,1.81,,,
75-83-2,"2,2-Dimethylbutane",CCC(C)(C)C,,3.79,,,
565-75-3,"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,,5.05,,,
111-76-2,2-Butoxyethanol,CCCCOCCO,0.6,-0.21,,,
75-29-6,2-Chloropropane,CC(C)Cl,,2.03,,,
110-80-5,2-Ethoxyethanol,CCOCCO,,-1.27,,,
420-26-8,2-Fluoropropane,CC(C)F,,1.38,,,
110-43-0,2-Heptanone,CCCCCC(C)=O,,1.81,,,
591-78-6,2-Hexanone,CCCCC(C)=O,,1.19,,,
109-59-1,2-Isopropoxyethanol,CC(C)OCCO,,-1.16,,,
109-86-4,2-Methoxyethanol,COCCO,,-1.67,,,
78-83-1,2-Methyl-1-propanol,CC(C)CO,,-0.06,,,
75-65-0,2-Methyl-2-propanol,CC(C)(C)O,0.16,-0.73,,,
107-83-5,2-Methylpentane,CCCC(C)C,,3.99,,,
79-46-9,2-Nitropropane,CC(C)[N+](=O)[O-],,0.61,,,
107-87-9,2-Pentanone,CCCC(C)=O,,0.65,,,
67-63-0,2-Propanol,CC(C)O,-0.04,-0.82,,,
123-51-3,3-Methyl-1-butanol,CC(C)CCO,,0.41,,,
589-34-4,3-Methylhexane,CCCC(C)CC,,4.61,,,
96-14-0,3-Methylpentane,CCC(C)CC,,4.07,,,
96-22-0,3-Pentanone,CCC(=O)CC,,0.56,,,
108-10-1,4-Methyl-2-pentanone,CC(=O)CC(C)C,,1.05,,,
67-64-1,Acetone,CC(C)=O,0.06,-0.32,,,
300-57-2,Allylbenzene,C=CCc1ccccc1,,2.96,,,
71-43-2,Benzene,c1ccccc1,,2.12,1.58,,
74-97-5,Bromochloromethane,ClCBr,,1.49,,,
78-93-3,2-Butanone,CCC(C)=O,,0.18,,,
106-97-8,Butane,CCCC,,3.03,,,
123-86-4,Butyl acetate,CCCCOC(C)=O,,1.59,,,
56-23-5,Carbon tetrachloride,ClC(Cl)(Cl)Cl,2.61,3.18,1.77,,
76-14-2,"1,2-
Dichlorotetrafluoroethane",FC(F)(Cl)C(F)(F)Cl,,3,,,
377-36-6,"1,1,2,2,3,3,4,4-
Octafluorobutane",FC(F)C(F)(F)C(F)(F)C(F)F,,2.5,,,
680-00-2,"1,1,2,2,3,3-
Hexafluoropropane",FC(F)C(F)(F)C(F)F,,1.49,,,
359-35-3,"1,1,2,2-Tetrafluoroethane",FC(F)C(F)F,,0.92,,,
75-37-6,"1,1-Difluoroethane",CC(F)F,,0.91,,,
151-67-7,Halothane,FC(F)(F)C(Cl)Br,,2.28,1.62,,
124-72-1,Teflurane,FC(F)C(F)(F)Br,,1.8,,,
811-97-2,"1,1,1,2-Tetrafluoroethane",FCC(F)(F)F,,1.03,,,
406-90-6,Fluroxene,C=COCC(F)(F)F,,1.26,,,
75-73-0,Carbon tetrafluoride,FC(F)(F)F,,1.12,,,
462-39-5,"1,3-Difluoropropane",FCCCF,,0.66,,,
13838-16-9,Enflurane,FC(F)OC(F)(F)C(F)Cl,,2.03,1.59,,
