compound,SMILES,box,pose,dG
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,0,-1.793
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,1,-1.777
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,2,-1.763
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,3,-5.44
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,4,-3.997
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,5,-3.844
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,6,-4.65
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,7,-4.385
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,8,-4.089
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,9,-3.785
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,10,-5.905
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,11,-5.284
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,12,-5.161
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,13,-5.366
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,14,-5.241
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,15,-5.182
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,16,-4.834
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,17,-6.203
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,18,-5.877
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,19,-4.241
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,20,-1.939
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,21,-1.835
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,22,-1.671
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,23,-1.647
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,24,-3.359
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,25,-2.96
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,26,-2.895
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,27,-2.78
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,0,28,-2.744
