compound,method,gsolv
"1,2,4-Trimethylbenzene",GFN1/gbsa,-1.106465973398882
"1,2-Dichlorobenzene",GFN1/gbsa,-1.99838372939131
1-Hexanol,GFN1/gbsa,-4.493874870217776
Benzene,GFN1/gbsa,-0.8463746368312131
Carbon tetrachloride,GFN1/gbsa,-0.38613043110877504
Halothane,GFN1/gbsa,-0.911182399009102
Enflurane,GFN1/gbsa,-2.693204619571964
Isoflurane,GFN1/gbsa,-5.451938558860701
Chlorobenzene,GFN1/gbsa,-1.360258779367856
Cycloheptane,GFN1/gbsa,1.05696632025888
Cyclohexane,GFN1/gbsa,1.057372329877042
Ethylbenzene,GFN1/gbsa,-0.736224910404658
Heptane,GFN1/gbsa,1.179931728253371
Hexafluorobenzene,GFN1/gbsa,-2.686343936290637
Hexane,GFN1/gbsa,1.166531386509991
Methoxyflurane,GFN1/gbsa,-5.059759508887572
Methylpentafluorobenzene,GFN1/gbsa,-3.404328413828277
Nonane,GFN1/gbsa,1.285756443023776
Propylbenzene,GFN1/gbsa,-0.635710723352592
Tetrachloroethene,GFN1/gbsa,-0.660447109307322
Toluene,GFN1/gbsa,-0.921522441482873
Trichloroethene,GFN1/gbsa,-0.9706507015386979
1-heptanol,GFN1/gbsa,-4.578680629492914
di-n-butyl ether,GFN1/gbsa,-2.381992562019251
Cyclooctane,GFN1/gbsa,1.073635801287141
Octan-1-ol,GFN1/gbsa,-4.035764602348679
Nonan-1-ol,GFN1/gbsa,-4.427013662648503
1-Chlorooctane,GFN1/gbsa,-0.38972684645758804
1-Nonene,GFN1/gbsa,0.6229095516752631
"1,2,4-Trichlorobenzene",GFN1/gbsa,-1.996458439535487
Dipentyl ether,GFN1/gbsa,-2.3441856260686538
2-octanone,GFN1/gbsa,-4.969223581525434
2-nonanone,GFN1/gbsa,-4.681154146881526
2-Nitrotoluene,GFN1/gbsa,-5.208912738056392
4-Nitroanisole,GFN1/gbsa,-8.082447063733419
4-Chlorophenol,GFN1/gbsa,-6.4328864233006735
4-Ethyl-3-hexanol,GFN1/gbsa,-3.7002370197149013
"2,4-Dinitrotoluene",GFN1/gbsa,-8.92583100773085
Styrene,GFN1/gbsa,-1.4636751378140942
Octane,GFN1/gbsa,1.231936915643807
3-Chlorophenol,GFN1/gbsa,-6.607104984917113
4-bromophenol,GFN1/gbsa,-6.4223045194055235
4-Iodoaniline,GFN1/gbsa,-6.564778975759553
"N,N-Diethylaniline",GFN1/gbsa,-2.649439894802235
4-n-Propylphenol,GFN1/gbsa,-5.6435167290010035
4-iodophenol,GFN1/gbsa,-7.192787950457903
Phenanthrene,GFN1/gbsa,-3.15294180555251
Fluoranthene,GFN1/gbsa,-3.7205541446717167
Pyrene,GFN1/gbsa,-3.689013568815912
1-heptyne,GFN1/gbsa,-0.43988634978394103
tribromomethane,GFN1/gbsa,-1.2589404734177758
γ-hexachlorocyclohexane,GFN1/gbsa,-11.107050574866223
2-decanone,GFN1/gbsa,-4.88584881636422
1-nitrooctane,GFN1/gbsa,-4.768977509086405
tri-n-butyl phosphate,GFN1/gbsa,-9.953532394697152
"1,4-dibromobenzene",GFN1/gbsa,-1.851893889381946
"1,2,3,4-tetrachlorobenzene",GFN1/gbsa,-2.499729888820386
indene,GFN1/gbsa,-1.581725550818144
naphthalene,GFN1/gbsa,-2.016541986189724
dibenzofuran,GFN1/gbsa,-3.0195873215309885
dibenzothiophene,GFN1/gbsa,-2.684343054818147
chrysene,GFN1/gbsa,-4.318006558574922
benzo[b]fluoranthene,GFN1/gbsa,-4.7393285390308115
benzo[ghi]perylene,GFN1/gbsa,-5.371371303478481
anisole,GFN1/gbsa,-3.3647154028091864
valerophenone,GFN1/gbsa,-6.117884705865053
benzophenone,GFN1/gbsa,-6.977121619944996
di-n-propyl phthalate,GFN1/gbsa,-11.197108094386833
1-nitronaphthalene,GFN1/gbsa,-5.886676520466777
4-chlorobenzyl alcohol,GFN1/gbsa,-5.596533290942124
2-phenylphenol,GFN1/gbsa,-7.95673104408349
4-fluorophenol,GFN1/gbsa,-7.004715634195042
bisphenol A,GFN1/gbsa,-11.961544202380942
4-nitroaniline,GFN1/gbsa,-12.711891789551515
2-chloroaniline,GFN1/gbsa,-4.968582768707125
4-aminobiphenyl,GFN1/gbsa,-6.59933079034882
indole,GFN1/gbsa,-4.897392458123022
carbazole,GFN1/gbsa,-5.403228444447098
metolachlor,GFN1/gbsa,-10.931321604106856
atrazine,GFN1/gbsa,-10.058892334259054
diazepam,GFN1/gbsa,-11.315417361128473
estrone,GFN1/gbsa,-10.23639482994007
endosulfan α,GFN1/gbsa,-21.050952157214184
"1,2,4-Trimethylbenzene",GFN1/alpb,-0.548291842153952
"1,2-Dichlorobenzene",GFN1/alpb,-1.578865550538808
1-Hexanol,GFN1/alpb,-5.251973831336839
Benzene,GFN1/alpb,-0.5049602824543601
Carbon tetrachloride,GFN1/alpb,-0.6682465454251401
Halothane,GFN1/alpb,-0.526531697500736
Enflurane,GFN1/alpb,-1.613341761588737
Isoflurane,GFN1/alpb,-3.3596957581428155
Chlorobenzene,GFN1/alpb,-0.99703550845578
Cycloheptane,GFN1/alpb,0.865592895010116
Cyclohexane,GFN1/alpb,0.905541142672313
Ethylbenzene,GFN1/alpb,-0.338783020887153
Heptane,GFN1/alpb,0.941830483874423
Hexafluorobenzene,GFN1/alpb,-1.1580797853085452
Hexane,GFN1/alpb,0.949620276433929
Methoxyflurane,GFN1/alpb,-4.534939406190253
Methylpentafluorobenzene,GFN1/alpb,-2.451526518044715
Nonane,GFN1/alpb,0.8528792464055801
Propylbenzene,GFN1/alpb,-0.387887936980669
Tetrachloroethene,GFN1/alpb,-0.8012740363892891
Toluene,GFN1/alpb,-0.46972593385590106
Trichloroethene,GFN1/alpb,-0.920158934706881
1-heptanol,GFN1/alpb,-4.9376122446172435
di-n-butyl ether,GFN1/alpb,-2.726649837727456
Cyclooctane,GFN1/alpb,0.8645800521859951
Octan-1-ol,GFN1/alpb,-4.748393694687115
Nonan-1-ol,GFN1/alpb,-5.4365140324706065
1-Chlorooctane,GFN1/alpb,-0.473150235408685
1-Nonene,GFN1/alpb,0.458346891472853
"1,2,4-Trichlorobenzene",GFN1/alpb,-1.723792807169439
Dipentyl ether,GFN1/alpb,-2.8238445492326973
2-octanone,GFN1/alpb,-4.710365178406019
2-nonanone,GFN1/alpb,-4.737428611206242
2-Nitrotoluene,GFN1/alpb,-6.05913086374755
4-Nitroanisole,GFN1/alpb,-8.758597452106324
4-Chlorophenol,GFN1/alpb,-7.096640212618801
4-Ethyl-3-hexanol,GFN1/alpb,-3.629044723064813
"2,4-Dinitrotoluene",GFN1/alpb,-10.885944662506532
Styrene,GFN1/alpb,-1.024436508467534
Octane,GFN1/alpb,0.872552070849065
3-Chlorophenol,GFN1/alpb,-7.241593231631427
4-bromophenol,GFN1/alpb,-7.404254033791584
4-Iodoaniline,GFN1/alpb,-7.217449270020999
"N,N-Diethylaniline",GFN1/alpb,-2.545576069728241
4-n-Propylphenol,GFN1/alpb,-6.409385932636677
4-iodophenol,GFN1/alpb,-7.602735658226652
Phenanthrene,GFN1/alpb,-2.3680575907654884
Fluoranthene,GFN1/alpb,-2.878462636408449
Pyrene,GFN1/alpb,-2.6767882963821
1-heptyne,GFN1/alpb,-0.329045555853303
tribromomethane,GFN1/alpb,-1.774865572661685
γ-hexachlorocyclohexane,GFN1/alpb,-8.89580588681784
2-decanone,GFN1/alpb,-4.822021779217305
1-nitrooctane,GFN1/alpb,-6.161168502717109
tri-n-butyl phosphate,GFN1/alpb,-12.05188559442297
"1,4-dibromobenzene",GFN1/alpb,-2.115786344774372
"1,2,3,4-tetrachlorobenzene",GFN1/alpb,-2.17026548514229
indene,GFN1/alpb,-1.043611267722557
naphthalene,GFN1/alpb,-1.4724204383279
dibenzofuran,GFN1/alpb,-3.157752969766266
dibenzothiophene,GFN1/alpb,-2.092111696517534
chrysene,GFN1/alpb,-3.3846299813700114
benzo[b]fluoranthene,GFN1/alpb,-3.552246387765543
benzo[ghi]perylene,GFN1/alpb,-4.11945176847298
anisole,GFN1/alpb,-3.0450149193168707
valerophenone,GFN1/alpb,-5.3999119269776985
benzophenone,GFN1/alpb,-5.960918985881179
di-n-propyl phthalate,GFN1/alpb,-11.074773336074887
1-nitronaphthalene,GFN1/alpb,-6.620145903938
4-chlorobenzyl alcohol,GFN1/alpb,-5.673206011489775
2-phenylphenol,GFN1/alpb,-7.777833171071883
4-fluorophenol,GFN1/alpb,-7.348423661351222
bisphenol A,GFN1/alpb,-13.463967856537678
4-nitroaniline,GFN1/alpb,-14.712186955909964
