n,absR2,absR2_off,calR2,pearson,bias,rmse,pose_method,desolv_method
83,-0.6754225253497639,-0.22629679051828466,0.21866200325056223,0.4676130914020289,0.5776653126201207,1.1157181412741677,A,none
83,-24.818404989821,-7.074536732040874,0.12453524049726401,0.3528955093186424,3.63091825741261,4.379827681202573,A,GFN1/gbsa
83,-24.280379299327716,-7.108025146162047,0.1469119792964507,0.3832909851489475,3.5719653545260943,4.333952153805415,A,GFN1/alpb
83,-25.483592993967836,-7.4932868966019495,0.08304346616932108,0.28817263258214004,3.6560455340175517,4.435890040730972,A,GFN2/gbsa
83,-30.303676203322087,-10.47180873001923,0.12782827807931696,0.35753080717515373,3.838611193782257,4.822697155517683,A,GFN2/alpb
83,-1.6662831195603585,-0.1904834260397903,0.21363895345502143,0.46221094043198657,1.0471430811448752,1.407490431839043,B1,none
83,-29.996841629474158,-7.367757938529257,0.11610827611530182,0.34074664505362606,4.100396025937366,4.799003225340313,B1,GFN1/gbsa
83,-29.387581067670162,-7.404513078469531,0.1375724663850852,0.3709076251374258,4.041443123050848,4.751605592916547,B1,GFN1/alpb
83,-30.68570361611015,-7.778427546838721,0.07673703629261944,0.27701450556355245,4.125523302542306,4.852035809139165,B1,GFN2/gbsa
83,-35.7399672057645,-10.76041282266906,0.12104748513700382,0.3479187910087695,4.308088962307012,5.22470412977038,B1,GFN2/alpb
83,-5.699924620517306,0.08974197207587264,0.16380870780093026,0.4047328845064733,2.0740494038326016,2.231142340458524,B2,none
83,-43.138151527230136,-7.755268522642995,0.07073594924388324,0.2659623079383303,5.127302348625093,5.726633510011419,B2,GFN1/gbsa
83,-42.25715745198825,-7.683250285433294,0.08934533089036846,0.2989068933470228,5.0683494457385745,5.669193862621242,B2,GFN1/alpb
83,-43.607661885505905,-7.8771286096031705,0.04211369714830701,0.2052162204805142,5.152429625230033,5.757010873797791,B2,GFN2/gbsa
83,-48.92507099929761,-10.61760360230686,0.08446343262419281,0.29062593247023366,5.334995284994738,6.090482016769521,B2,GFN2/alpb
